18:42:49.304 INFO  ExecHelper - /opt/graphicsfuzz/graphicsfuzz/target/graphicsfuzz/bin/Linux/glslangValidator -E --stdin -S comp
18:42:49.484 INFO  ExecHelper - Result: 0
18:42:50.281 INFO  ReductionDriver - Starting reduction for variant_361
18:42:50.295 INFO  ExecHelper - interestingness_test /opt/reduce/cezanne_radeon_vega/syn_subgroup_op_release/variant_361.comp reduction_results/cezanne_radeon_vega/syn_subgroup_op_release/variant_361/variant_361.json
18:42:50.297 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
18:42:50.297 INFO  ExecHelper - Result: 127
18:42:50.297 INFO  CustomFileJudge - Custom file judge result: 127
18:42:50.297 INFO  ReductionDriver - Result from initial state is not interesting (attempt 1)
18:42:50.303 INFO  ExecHelper - interestingness_test /opt/reduce/cezanne_radeon_vega/syn_subgroup_op_release/variant_361.comp reduction_results/cezanne_radeon_vega/syn_subgroup_op_release/variant_361/variant_361.json
18:42:50.304 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
18:42:50.304 INFO  ExecHelper - Result: 127
18:42:50.304 INFO  CustomFileJudge - Custom file judge result: 127
18:42:50.304 INFO  ReductionDriver - Result from initial state is not interesting (attempt 2)
18:42:50.308 INFO  ExecHelper - interestingness_test /opt/reduce/cezanne_radeon_vega/syn_subgroup_op_release/variant_361.comp reduction_results/cezanne_radeon_vega/syn_subgroup_op_release/variant_361/variant_361.json
18:42:50.309 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
18:42:50.310 INFO  ExecHelper - Result: 127
18:42:50.310 INFO  CustomFileJudge - Custom file judge result: 127
18:42:50.310 INFO  ReductionDriver - Result from initial state is not interesting (attempt 3)
18:42:50.316 INFO  ExecHelper - interestingness_test /opt/reduce/cezanne_radeon_vega/syn_subgroup_op_release/variant_361.comp reduction_results/cezanne_radeon_vega/syn_subgroup_op_release/variant_361/variant_361.json
18:42:50.317 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
18:42:50.317 INFO  ExecHelper - Result: 127
18:42:50.317 INFO  CustomFileJudge - Custom file judge result: 127
18:42:50.317 INFO  ReductionDriver - Result from initial state is not interesting (attempt 4)
18:42:50.321 INFO  ExecHelper - interestingness_test /opt/reduce/cezanne_radeon_vega/syn_subgroup_op_release/variant_361.comp reduction_results/cezanne_radeon_vega/syn_subgroup_op_release/variant_361/variant_361.json
18:42:50.323 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
18:42:50.323 INFO  ExecHelper - Result: 127
18:42:50.323 INFO  CustomFileJudge - Custom file judge result: 127
18:42:50.323 INFO  ReductionDriver - Result from initial state is not interesting (attempt 5)
18:42:50.323 INFO  ReductionDriver - Tried 5 times; stopping.
Reduction command: java -ea -cp /opt/graphicsfuzz/graphicsfuzz/target/graphicsfuzz/python/drivers/../../jar/tool-1.0.jar com.graphicsfuzz.reducer.tool.GlslReduce /opt/reduce/cezanne_radeon_vega/syn_subgroup_op_release/variant_361.json interestingness_test --output reduction_results/cezanne_radeon_vega/syn_subgroup_op_release/variant_361 /opt/reduce/cezanne_radeon_vega/syn_subgroup_op_release/variant_361.comp
