18:47:32.898 INFO  ExecHelper - /opt/graphicsfuzz/graphicsfuzz/target/graphicsfuzz/bin/Linux/glslangValidator -E --stdin -S comp
18:47:32.946 INFO  ExecHelper - Result: 0
18:47:33.003 INFO  ReductionDriver - Starting reduction for variant_662
18:47:33.007 INFO  ExecHelper - interestingness_test /opt/reduce/intel_iris_xe_graphics/syn_lock_step/variant_662.comp reduction_results/intel_iris_xe_graphics/syn_lock_step/variant_662/variant_662.json
18:47:33.009 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
18:47:33.009 INFO  ExecHelper - Result: 127
18:47:33.009 INFO  CustomFileJudge - Custom file judge result: 127
18:47:33.009 INFO  ReductionDriver - Result from initial state is not interesting (attempt 1)
18:47:33.010 INFO  ExecHelper - interestingness_test /opt/reduce/intel_iris_xe_graphics/syn_lock_step/variant_662.comp reduction_results/intel_iris_xe_graphics/syn_lock_step/variant_662/variant_662.json
18:47:33.011 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
18:47:33.011 INFO  ExecHelper - Result: 127
18:47:33.011 INFO  CustomFileJudge - Custom file judge result: 127
18:47:33.011 INFO  ReductionDriver - Result from initial state is not interesting (attempt 2)
18:47:33.012 INFO  ExecHelper - interestingness_test /opt/reduce/intel_iris_xe_graphics/syn_lock_step/variant_662.comp reduction_results/intel_iris_xe_graphics/syn_lock_step/variant_662/variant_662.json
18:47:33.013 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
18:47:33.013 INFO  ExecHelper - Result: 127
18:47:33.013 INFO  CustomFileJudge - Custom file judge result: 127
18:47:33.013 INFO  ReductionDriver - Result from initial state is not interesting (attempt 3)
18:47:33.014 INFO  ExecHelper - interestingness_test /opt/reduce/intel_iris_xe_graphics/syn_lock_step/variant_662.comp reduction_results/intel_iris_xe_graphics/syn_lock_step/variant_662/variant_662.json
18:47:33.015 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
18:47:33.015 INFO  ExecHelper - Result: 127
18:47:33.015 INFO  CustomFileJudge - Custom file judge result: 127
18:47:33.015 INFO  ReductionDriver - Result from initial state is not interesting (attempt 4)
18:47:33.016 INFO  ExecHelper - interestingness_test /opt/reduce/intel_iris_xe_graphics/syn_lock_step/variant_662.comp reduction_results/intel_iris_xe_graphics/syn_lock_step/variant_662/variant_662.json
18:47:33.017 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
18:47:33.017 INFO  ExecHelper - Result: 127
18:47:33.017 INFO  CustomFileJudge - Custom file judge result: 127
18:47:33.017 INFO  ReductionDriver - Result from initial state is not interesting (attempt 5)
18:47:33.017 INFO  ReductionDriver - Tried 5 times; stopping.
Reduction command: java -ea -cp /opt/graphicsfuzz/graphicsfuzz/target/graphicsfuzz/python/drivers/../../jar/tool-1.0.jar com.graphicsfuzz.reducer.tool.GlslReduce /opt/reduce/intel_iris_xe_graphics/syn_lock_step/variant_662.json interestingness_test --output reduction_results/intel_iris_xe_graphics/syn_lock_step/variant_662 /opt/reduce/intel_iris_xe_graphics/syn_lock_step/variant_662.comp
