19:33:23.139 INFO  ExecHelper - /opt/graphicsfuzz/graphicsfuzz/target/graphicsfuzz/bin/Linux/glslangValidator -E --stdin -S comp
19:33:23.187 INFO  ExecHelper - Result: 0
19:33:23.243 INFO  ReductionDriver - Starting reduction for variant_499
19:33:23.247 INFO  ExecHelper - interestingness_test /opt/reduce/rtx_4070/syn_memory_converge/variant_499.comp reduction_results/rtx_4070/syn_memory_converge/variant_499/variant_499.json
19:33:23.249 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
19:33:23.249 INFO  ExecHelper - Result: 127
19:33:23.250 INFO  CustomFileJudge - Custom file judge result: 127
19:33:23.250 INFO  ReductionDriver - Result from initial state is not interesting (attempt 1)
19:33:23.250 INFO  ExecHelper - interestingness_test /opt/reduce/rtx_4070/syn_memory_converge/variant_499.comp reduction_results/rtx_4070/syn_memory_converge/variant_499/variant_499.json
19:33:23.251 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
19:33:23.252 INFO  ExecHelper - Result: 127
19:33:23.252 INFO  CustomFileJudge - Custom file judge result: 127
19:33:23.252 INFO  ReductionDriver - Result from initial state is not interesting (attempt 2)
19:33:23.252 INFO  ExecHelper - interestingness_test /opt/reduce/rtx_4070/syn_memory_converge/variant_499.comp reduction_results/rtx_4070/syn_memory_converge/variant_499/variant_499.json
19:33:23.254 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
19:33:23.254 INFO  ExecHelper - Result: 127
19:33:23.254 INFO  CustomFileJudge - Custom file judge result: 127
19:33:23.254 INFO  ReductionDriver - Result from initial state is not interesting (attempt 3)
19:33:23.255 INFO  ExecHelper - interestingness_test /opt/reduce/rtx_4070/syn_memory_converge/variant_499.comp reduction_results/rtx_4070/syn_memory_converge/variant_499/variant_499.json
19:33:23.256 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
19:33:23.256 INFO  ExecHelper - Result: 127
19:33:23.256 INFO  CustomFileJudge - Custom file judge result: 127
19:33:23.256 INFO  ReductionDriver - Result from initial state is not interesting (attempt 4)
19:33:23.257 INFO  ExecHelper - interestingness_test /opt/reduce/rtx_4070/syn_memory_converge/variant_499.comp reduction_results/rtx_4070/syn_memory_converge/variant_499/variant_499.json
19:33:23.258 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
19:33:23.258 INFO  ExecHelper - Result: 127
19:33:23.258 INFO  CustomFileJudge - Custom file judge result: 127
19:33:23.258 INFO  ReductionDriver - Result from initial state is not interesting (attempt 5)
19:33:23.258 INFO  ReductionDriver - Tried 5 times; stopping.
Reduction command: java -ea -cp /opt/graphicsfuzz/graphicsfuzz/target/graphicsfuzz/python/drivers/../../jar/tool-1.0.jar com.graphicsfuzz.reducer.tool.GlslReduce /opt/reduce/rtx_4070/syn_memory_converge/variant_499.json interestingness_test --output reduction_results/rtx_4070/syn_memory_converge/variant_499 /opt/reduce/rtx_4070/syn_memory_converge/variant_499.comp
