18:53:42.272 INFO  ExecHelper - /opt/graphicsfuzz/graphicsfuzz/target/graphicsfuzz/bin/Linux/glslangValidator -E --stdin -S comp
18:53:42.323 INFO  ExecHelper - Result: 0
18:53:42.402 INFO  ReductionDriver - Starting reduction for variant_259
18:53:42.411 INFO  ExecHelper - interestingness_test /opt/reduce/intel_iris_xe_graphics/syn_memory_converge/variant_259.comp reduction_results/intel_iris_xe_graphics/syn_memory_converge/variant_259/variant_259.json
18:53:42.413 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
18:53:42.413 INFO  ExecHelper - Result: 127
18:53:42.413 INFO  CustomFileJudge - Custom file judge result: 127
18:53:42.413 INFO  ReductionDriver - Result from initial state is not interesting (attempt 1)
18:53:42.415 INFO  ExecHelper - interestingness_test /opt/reduce/intel_iris_xe_graphics/syn_memory_converge/variant_259.comp reduction_results/intel_iris_xe_graphics/syn_memory_converge/variant_259/variant_259.json
18:53:42.416 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
18:53:42.417 INFO  ExecHelper - Result: 127
18:53:42.417 INFO  CustomFileJudge - Custom file judge result: 127
18:53:42.417 INFO  ReductionDriver - Result from initial state is not interesting (attempt 2)
18:53:42.419 INFO  ExecHelper - interestingness_test /opt/reduce/intel_iris_xe_graphics/syn_memory_converge/variant_259.comp reduction_results/intel_iris_xe_graphics/syn_memory_converge/variant_259/variant_259.json
18:53:42.420 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
18:53:42.420 INFO  ExecHelper - Result: 127
18:53:42.420 INFO  CustomFileJudge - Custom file judge result: 127
18:53:42.420 INFO  ReductionDriver - Result from initial state is not interesting (attempt 3)
18:53:42.422 INFO  ExecHelper - interestingness_test /opt/reduce/intel_iris_xe_graphics/syn_memory_converge/variant_259.comp reduction_results/intel_iris_xe_graphics/syn_memory_converge/variant_259/variant_259.json
18:53:42.423 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
18:53:42.423 INFO  ExecHelper - Result: 127
18:53:42.423 INFO  CustomFileJudge - Custom file judge result: 127
18:53:42.423 INFO  ReductionDriver - Result from initial state is not interesting (attempt 4)
18:53:42.425 INFO  ExecHelper - interestingness_test /opt/reduce/intel_iris_xe_graphics/syn_memory_converge/variant_259.comp reduction_results/intel_iris_xe_graphics/syn_memory_converge/variant_259/variant_259.json
18:53:42.426 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
18:53:42.426 INFO  ExecHelper - Result: 127
18:53:42.426 INFO  CustomFileJudge - Custom file judge result: 127
18:53:42.426 INFO  ReductionDriver - Result from initial state is not interesting (attempt 5)
18:53:42.426 INFO  ReductionDriver - Tried 5 times; stopping.
Reduction command: java -ea -cp /opt/graphicsfuzz/graphicsfuzz/target/graphicsfuzz/python/drivers/../../jar/tool-1.0.jar com.graphicsfuzz.reducer.tool.GlslReduce /opt/reduce/intel_iris_xe_graphics/syn_memory_converge/variant_259.json interestingness_test --output reduction_results/intel_iris_xe_graphics/syn_memory_converge/variant_259 /opt/reduce/intel_iris_xe_graphics/syn_memory_converge/variant_259.comp
