19:51:30.924 INFO  ExecHelper - /opt/graphicsfuzz/graphicsfuzz/target/graphicsfuzz/bin/Linux/glslangValidator -E --stdin -S comp
19:51:30.982 INFO  ExecHelper - Result: 0
19:51:31.038 INFO  ReductionDriver - Starting reduction for variant_755
19:51:31.043 INFO  ExecHelper - interestingness_test /opt/reduce/rtx_4070/syn_memory_converge_atomic/variant_755.comp reduction_results/rtx_4070/syn_memory_converge_atomic/variant_755/variant_755.json
19:51:31.044 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
19:51:31.045 INFO  ExecHelper - Result: 127
19:51:31.045 INFO  CustomFileJudge - Custom file judge result: 127
19:51:31.045 INFO  ReductionDriver - Result from initial state is not interesting (attempt 1)
19:51:31.046 INFO  ExecHelper - interestingness_test /opt/reduce/rtx_4070/syn_memory_converge_atomic/variant_755.comp reduction_results/rtx_4070/syn_memory_converge_atomic/variant_755/variant_755.json
19:51:31.047 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
19:51:31.047 INFO  ExecHelper - Result: 127
19:51:31.047 INFO  CustomFileJudge - Custom file judge result: 127
19:51:31.047 INFO  ReductionDriver - Result from initial state is not interesting (attempt 2)
19:51:31.048 INFO  ExecHelper - interestingness_test /opt/reduce/rtx_4070/syn_memory_converge_atomic/variant_755.comp reduction_results/rtx_4070/syn_memory_converge_atomic/variant_755/variant_755.json
19:51:31.049 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
19:51:31.049 INFO  ExecHelper - Result: 127
19:51:31.049 INFO  CustomFileJudge - Custom file judge result: 127
19:51:31.049 INFO  ReductionDriver - Result from initial state is not interesting (attempt 3)
19:51:31.050 INFO  ExecHelper - interestingness_test /opt/reduce/rtx_4070/syn_memory_converge_atomic/variant_755.comp reduction_results/rtx_4070/syn_memory_converge_atomic/variant_755/variant_755.json
19:51:31.051 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
19:51:31.051 INFO  ExecHelper - Result: 127
19:51:31.051 INFO  CustomFileJudge - Custom file judge result: 127
19:51:31.051 INFO  ReductionDriver - Result from initial state is not interesting (attempt 4)
19:51:31.051 INFO  ExecHelper - interestingness_test /opt/reduce/rtx_4070/syn_memory_converge_atomic/variant_755.comp reduction_results/rtx_4070/syn_memory_converge_atomic/variant_755/variant_755.json
19:51:31.052 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
19:51:31.053 INFO  ExecHelper - Result: 127
19:51:31.053 INFO  CustomFileJudge - Custom file judge result: 127
19:51:31.053 INFO  ReductionDriver - Result from initial state is not interesting (attempt 5)
19:51:31.053 INFO  ReductionDriver - Tried 5 times; stopping.
Reduction command: java -ea -cp /opt/graphicsfuzz/graphicsfuzz/target/graphicsfuzz/python/drivers/../../jar/tool-1.0.jar com.graphicsfuzz.reducer.tool.GlslReduce /opt/reduce/rtx_4070/syn_memory_converge_atomic/variant_755.json interestingness_test --output reduction_results/rtx_4070/syn_memory_converge_atomic/variant_755 /opt/reduce/rtx_4070/syn_memory_converge_atomic/variant_755.comp
