19:22:22.101 INFO  ExecHelper - /opt/graphicsfuzz/graphicsfuzz/target/graphicsfuzz/bin/Linux/glslangValidator -E --stdin -S comp
19:22:22.149 INFO  ExecHelper - Result: 0
19:22:22.278 INFO  ReductionDriver - Starting reduction for variant_720
19:22:22.294 INFO  ExecHelper - interestingness_test /opt/reduce/intel_iris_xe_graphics/syn_subgroup_op_release/variant_720.comp reduction_results/intel_iris_xe_graphics/syn_subgroup_op_release/variant_720/variant_720.json
19:22:22.296 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
19:22:22.296 INFO  ExecHelper - Result: 127
19:22:22.296 INFO  CustomFileJudge - Custom file judge result: 127
19:22:22.296 INFO  ReductionDriver - Result from initial state is not interesting (attempt 1)
19:22:22.308 INFO  ExecHelper - interestingness_test /opt/reduce/intel_iris_xe_graphics/syn_subgroup_op_release/variant_720.comp reduction_results/intel_iris_xe_graphics/syn_subgroup_op_release/variant_720/variant_720.json
19:22:22.310 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
19:22:22.310 INFO  ExecHelper - Result: 127
19:22:22.310 INFO  CustomFileJudge - Custom file judge result: 127
19:22:22.310 INFO  ReductionDriver - Result from initial state is not interesting (attempt 2)
19:22:22.318 INFO  ExecHelper - interestingness_test /opt/reduce/intel_iris_xe_graphics/syn_subgroup_op_release/variant_720.comp reduction_results/intel_iris_xe_graphics/syn_subgroup_op_release/variant_720/variant_720.json
19:22:22.320 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
19:22:22.320 INFO  ExecHelper - Result: 127
19:22:22.320 INFO  CustomFileJudge - Custom file judge result: 127
19:22:22.320 INFO  ReductionDriver - Result from initial state is not interesting (attempt 3)
19:22:22.330 INFO  ExecHelper - interestingness_test /opt/reduce/intel_iris_xe_graphics/syn_subgroup_op_release/variant_720.comp reduction_results/intel_iris_xe_graphics/syn_subgroup_op_release/variant_720/variant_720.json
19:22:22.332 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
19:22:22.332 INFO  ExecHelper - Result: 127
19:22:22.332 INFO  CustomFileJudge - Custom file judge result: 127
19:22:22.332 INFO  ReductionDriver - Result from initial state is not interesting (attempt 4)
19:22:22.338 INFO  ExecHelper - interestingness_test /opt/reduce/intel_iris_xe_graphics/syn_subgroup_op_release/variant_720.comp reduction_results/intel_iris_xe_graphics/syn_subgroup_op_release/variant_720/variant_720.json
19:22:22.339 INFO  StreamGobblerLogger - stderr.env: ‘interestingness_test’: No such file or directory
19:22:22.340 INFO  ExecHelper - Result: 127
19:22:22.340 INFO  CustomFileJudge - Custom file judge result: 127
19:22:22.340 INFO  ReductionDriver - Result from initial state is not interesting (attempt 5)
19:22:22.340 INFO  ReductionDriver - Tried 5 times; stopping.
Reduction command: java -ea -cp /opt/graphicsfuzz/graphicsfuzz/target/graphicsfuzz/python/drivers/../../jar/tool-1.0.jar com.graphicsfuzz.reducer.tool.GlslReduce /opt/reduce/intel_iris_xe_graphics/syn_subgroup_op_release/variant_720.json interestingness_test --output reduction_results/intel_iris_xe_graphics/syn_subgroup_op_release/variant_720 /opt/reduce/intel_iris_xe_graphics/syn_subgroup_op_release/variant_720.comp
